Exelon Corp,0.09,14 939,3 829 728
Johnson Controls Inc,0.09,10 052,3 816 126
Cigna Corp,0.09,4 059,3 812 313
Vivendi SA,0.09,19 549,3 804 879
Netflix Inc,0.09,905,3 795 123
Hutchison Whampoa Ltd,0.09,34 000,3 774 774
Norfolk Southern Corp,0.09,4 943,3 756 458
Sysco Corp,0.09,13 458,3 755 314
Woolworths Ltd,0.09,21 327,3 736 876
Becton Dickinson And Co,0.09,3 499,3 714 279
Crown Castle International Corp,0.08,5 848,3 680 967
WPP PLC,0.08,20 823,3 679 706
Marathon Petroleum Corp,0.08,4 954,3 679 704
Panasonic Corp,0.08,33 800,3 669 279
LinkedIn Corp,0.08,1 926,3 659 257
Marsh & Mclennan Cos Inc,0.08,8 645,3 658 509
Allstate Corp/The,0.08,6 946,3 646 115
Compass Group Plc,0.08,26 786,3 588 860
Mitsui Fudosan Co Ltd,0.08,16 000,3 588 225
Cbs Corp,0.08,7 662,3 587 200
Tokio Marine Holdings Inc,0.08,11 600,3 579 888
American Electric Power Co Inc,0.08,8 287,3 551 343
Monster Beverage Corp,0.08,3 414,3 527 319
Avago Technologies Ltd,0.08,4 000,3 522 997
Corning Inc,0.08,22 295,3 516 323
Valero Energy Corp,0.08,8 191,3 512 055
Vertex Pharmaceuticals Inc,0.08,3 780,3 511 531
Hitachi Ltd,0.08,68 000,3 508 154
Deutsche Post AG,0.08,14 044,3 504 815
Anglo American Plc,0.08,27 288,3 491 799
NTT DOCOMO Inc,0.08,25 800,3 452 275
Pioneer Natural Resources Co,0.08,2 651,3 451 559
CK Hutchison Holdings Ltd,0.08,21 000,3 440 053
Perrigo Co Plc,0.08,2 483,3 429 287
Mitsubishi Corp,0.08,21 000,3 425 545
Murata Manufacturing Co Ltd,0.08,3 200,3 419 468
Humana Inc,0.08,2 714,3 386 743
McGraw Hill Financial Inc,0.08,4 303,3 381 954
Mitsubishi Estate Co Ltd,0.08,19 000,3 377 468
GDF Suez,0.08,21 327,3 373 775
Cardinal Health Inc,0.08,5 283,3 357 579
Intercontinental Exchange Inc,0.08,1 984,3 356 820
Devon Energy Corp,0.08,6 475,3 328 127
Illumina Inc,0.08,2 389,3 316 926
Aflac Inc,0.08,6 980,3 315 765
Amerisourcebergen Corp,0.08,3 848,3 314 312
Nippon Telegraph & Telephone Corp,0.08,6 482,3 299 606
Dbs Group Holdings Ltd,0.08,27 400,3 287 539
Bb&T Corp,0.08,11 374,3 281 789
Intuit Inc,0.08,4 323,3 268 347
BAE Systems Plc,0.07,55 409,3 259 563
Constellation Brands Inc,0.07,3 727,3 256 153
Mitsubishi Electric Corp,0.07,33 000,3 249 956
Continental AG,0.07,1 821,3 247 884
Central Japan Railway Co,0.07,2 400,3 242 400
Public Storage,0.07,2 289,3 241 214
Applied Materials Inc,0.07,21 720,3 239 050
Nissan Motor Co Ltd,0.07,41 100,3 237 620
Koninklijke Philips NV,0.07,14 914,3 230 796
Pg&E Corp,0.07,8 082,3 222 929
Arm Holdings Plc,0.07,24 820,3 201 859
TE Connectivity Ltd,0.07,6 316,3 167 395
Kellogg Co,0.07,6 635,3 166 376
Spectra Energy Corp,0.07,11 280,3 166 266
Aon PLC,0.07,4 352,3 155 814
Discover Financial Services,0.07,7 215,3 151 750
Sun Hung Kai Properties Ltd,0.07,25 000,3 137 706
Bridgestone Corp,0.07,9 900,3 130 057
Delphi Automotive PLC,0.07,5 000,3 127 232
Nomura Holdings Inc,0.07,64 100,3 121 684
Tesco Plc,0.07,121 689,3 114 289
